time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.1153108229808672e-07,-1.0090234001207234e-07,10.008536713388363,6.283042563012957,6.28274764999137,0.0,1.5651000789568677e-05,-1.1968491917074106e-05,0.28452929581293945,-0.007621682374425774,-0.028790627483732283,0.0,492.9429703678815,490.811294242195,492.3661218072194,491.8020746054397
0.12000000000000001,1.6720843173523063e-05,-5.831095024525428e-06,10.030037661424213,6.282598406751569,6.281626117352527,0.0,0.0006950402424650523,-0.0002281798131446658,0.43212393176030145,-0.006967997259337496,-0.003730345631940024,0.0,450.13818204566394,452.1612402703264,452.53234166805834,452.5850622391238
0.18,9.526271131841854e-05,-3.2412199343410696e-05,10.061324690205494,0.0003161051874691623,6.281406068581369,0.0,0.0019481167369373915,-0.0006090200832006014,0.6106981158335791,0.04039364350799372,-0.0035420350316753067,0.0,461.4885756629616,461.503508451284,459.391258697542,463.13093825496054
0.23999999999999996,0.0002471654675441151,-5.428223694137248e-05,10.099516615494977,0.0027089622915514866,6.281000433714581,0.0,0.003143683360982948,0.0001084267462813862,0.6623368825489715,0.03883561631737551,-0.014132505025264497,0.0,421.355594108646,420.43926698708356,422.51840880224233,422.3849867805446
0.3,0.0004919033019622812,3.0620625883019275e-05,10.146381894442372,0.0054487791019317555,6.281204151285992,0.0,0.005037358329955525,0.0030345394895446836,0.8996813389568791,0.056666513425908435,0.02541712480773134,0.0,477.39970287184934,480.40753476738564,478.38012599599523,479.73677994032
0.36000000000000004,0.0008286329392623408,0.0003369007134400485,10.203109541462277,0.009036600630940583,6.282912725876432,0.0,0.006023333051028458,0.007526965883096548,0.9911628738211256,0.06541734034948037,0.033982218005885564,0.0,433.4705581142861,434.1898835319748,435.8567049716621,436.58992908370544
0.4200000000000001,0.0011879422377805596,0.0009899479220954774,10.265554121822039,0.012932758632846486,0.0014739213678245378,0.0,0.005758373145058988,0.014638762871806595,1.0902293014892592,0.06395589618404426,0.01694309803079809,0.0,437.83821512667396,436.41873780396173,438.1674538411779,438.0491272798745
0.48000000000000015,0.0014930999568846307,0.002200060251897377,10.337635265421943,0.016524140553928035,0.002351808901189578,0.0,0.0042996478090783444,0.02614306526669931,1.3122406414960035,0.050049815370820885,0.009553258165162512,0.0,475.1204361449195,474.55347722106893,476.19092531802534,475.1283329000346
0.5400000000000001,0.0017019043261632114,0.00411077959373172,10.418745822148162,0.01936971074160443,0.002781618679063236,0.0,0.0026106361781634037,0.03783578378632482,1.391345935410179,0.04158341185310018,0.0018951003822198337,0.0,432.67975191616074,432.0344997758809,431.9610459506645,431.24798431403576
0.6000000000000002,0.0017966670621641615,0.006820028763084451,10.506673990828121,0.022371456441938165,0.002635102648036458,0.0,0.0005484338870522407,0.05277280513529658,1.539398722488983,0.06306874842511989,-0.012954125285679463,0.0,454.3896360825011,453.1978245235398,453.0215492803771,454.74715194438477
0.6600000000000003,0.001765917204679235,0.010571988912370855,10.606761419405592,0.025857440341933824,0.0013405485159818653,0.0,-0.0014576081593029953,0.07274237388881491,1.7964700594867193,0.045633153090053204,-0.05067076226741725,0.0,488.7020302094945,485.8826782057994,486.3626754549622,485.0571500141069
0.7200000000000003,0.0016619030076004556,0.0154960804752152,10.718099485274411,0.028889786345922985,6.281550083994333,0.0,-0.001694502948262784,0.09169237274940617,1.914599386576363,0.05888454280559242,-0.04752999654831744,0.0,445.64664472058115,445.90174488574377,445.35158048183604,446.4356457316486
0.7800000000000004,0.0016111941272446623,0.021696062353609054,10.83895477358604,0.0323811438759849,6.278867519817176,0.0,0.00032569654105687833,0.11537287753021483,2.113549547338128,0.05676183971098387,-0.039594580499487,0.0,469.80052747730446,470.4143277861496,471.5910153028245,471.42917325818644
0.8400000000000004,0.0017354968381068428,0.029346736750023316,10.970166931570901,0.03578324418762335,6.276706417195429,0.0,0.004062530141366182,0.1400105639928475,2.259895821090357,0.05658111381660826,-0.02968570092538691,0.0,455.22578474570435,456.01738869819195,455.8967931128386,455.8844638643673
0.9000000000000005,0.002103289299458286,0.03841023384883866,11.10630484675241,0.03908985872427717,6.274879906988939,0.0,0.008359146702242094,0.16240553033303362,2.2779844040541737,0.05199441455207984,-0.031998397241119456,0.0,414.8348072539506,414.631306486037,416.21253790773926,415.81319470288776
0.9600000000000005,0.002821451562908921,0.04914832000209225,11.25034554707517,0.04284855397867382,6.273162294550119,0.0,0.015798890410063448,0.19594129639396693,2.522842320525114,0.07821073686938826,-0.022618074212308957,0.0,484.32636418720926,485.03115466552083,485.6169631881498,487.58174750610254
1.0200000000000005,0.003975091132223806,0.06178312438572259,11.404141117616556,0.04768011351000556,6.272453637249491,0.0,0.022750539664405912,0.225682611396888,2.6034703734349316,0.08479273643731941,0.003929581081466769,0.0,435.50465125589756,437.7195492400649,437.3645296863853,437.9176889400815
1.0800000000000005,0.005514637346972029,0.07611740870252745,11.558993166325916,0.05328396591624518,6.272524291124945,0.0,0.028555837050917764,0.2525647126015145,2.5583412115748914,0.1066245413263098,-0.004989862202711626,0.0,396.48693177641087,395.6665999651404,393.81853758109094,395.84108568415087
1.1400000000000006,0.007425644648092746,0.09227528751079574,11.713256340605103,0.05992928990803481,6.272288632729037,0.0,0.03516801509846595,0.286621104657894,2.5836681972531337,0.11794282832793256,-0.0018834965439397744,0.0,419.20419845895924,419.47411044543435,419.00931694230127,420.00368636856416
